,charge,status,race_distribution_dict
0,11351,filed,"{'Hispanic': 1547, 'Black or African American': 674, 'White': 274, '': 23, 'Unknown/Other': 22, 'Chinese': 16, 'Filipino': 16, 'Pacific Islander': 9, 'Other Asian': 7, 'Vietnamese': 5, 'Native American': 3, 'Korean': 3, 'Laotian': 2, 'Cambodian': 2, 'Japanese': 1}"
1,11351,booked,"{'Hispanic': 1918, 'Black or African American': 754, 'White': 329, '': 49, 'Unknown/Other': 35, 'Filipino': 19, 'Chinese': 17, 'Pacific Islander': 9, 'Other Asian': 9, 'Native American': 6, 'Vietnamese': 5, 'Laotian': 3, 'Cambodian': 3, 'Korean': 2, 'Japanese': 1}"
2,11351,convicted,"{'Hispanic': 494, 'Black or African American': 355, 'White': 136, 'Chinese': 9, 'Filipino': 8, 'Unknown/Other': 7, '': 4, 'Pacific Islander': 4, 'Korean': 3, 'Vietnamese': 3, 'Laotian': 2, 'Japanese': 1, 'Native American': 1, 'Other Asian': 1}"
3,11351,1385 PC - Guilty Plea to Other Charge,"{'Hispanic': 307, 'Black or African American': 71, 'White': 40, '': 2, 'Vietnamese': 1, 'Unknown/Other': 1, 'Filipino': 1}"
4,11351.5,filed,"{'Hispanic': 1216, 'Black or African American': 334, 'White': 128, '': 15, 'Unknown/Other': 12, 'Filipino': 8, 'Vietnamese': 5, 'Pacific Islander': 4, 'Chinese': 3, 'Laotian': 2, 'Japanese': 1, 'Native American': 1}"
5,11351.5,booked,"{'Hispanic': 1469, 'Black or African American': 364, 'White': 153, '': 26, 'Unknown/Other': 20, 'Filipino': 8, 'Vietnamese': 5, 'Chinese': 4, 'Pacific Islander': 4, 'Native American': 3, 'Laotian': 3, 'Japanese': 1}"
6,11351.5,convicted,"{'Hispanic': 390, 'Black or African American': 174, 'White': 62, 'Filipino': 6, 'Unknown/Other': 4, 'Vietnamese': 3, '': 2, 'Laotian': 2, 'Japanese': 1, 'Pacific Islander': 1}"
7,11351.5,1385 PC - Guilty Plea to Other Charge,"{'Hispanic': 247, 'Black or African American': 35, 'White': 25, 'Vietnamese': 1, 'Unknown/Other': 1, 'Filipino': 1, '': 1}"
8,11352,filed,"{'Hispanic': 794, 'Black or African American': 273, 'White': 71, '': 18, 'Unknown/Other': 16, 'Chinese': 7, 'Filipino': 5, 'Pacific Islander': 4, 'Other Asian': 4, 'Vietnamese': 2, 'Japanese': 1, 'Korean': 1, 'Cambodian': 1}"
9,11352,booked,"{'Hispanic': 1019, 'Black or African American': 320, 'White': 99, '': 36, 'Unknown/Other': 26, 'Chinese': 11, 'Filipino': 8, 'Other Asian': 5, 'Pacific Islander': 4, 'Japanese': 1, 'Vietnamese': 1, 'Korean': 1, 'Cambodian': 1, 'Laotian': 1}"
